STATION_ID,STATION_LOCATION,STATE_NAME,LATITUDE,LONGITUDE,API,CLASS,HOUR_MYT,TEMPERATURE_C,RAIN_FORECAST_SLOTS,HOTSPOT_COUNT,FRP_MW_MEAN,FRP_MW_MAX,HIGH_CONF_COUNT,HOTSPOT_COUNT_100KM,FRP_MW_MEAN_100KM,FRP_MW_MAX_100KM,HIGH_CONF_COUNT_100KM,DATA_FLAG
CA10A,"Taiping, PERAK",Perak,4.898865,100.679133,55.0,Moderate,2026-05-07 11:00:00,32.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA11A,"Tasek Ipoh, PERAK",Perak,4.629462,101.116669,56.0,Moderate,2026-05-06 19:00:00,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA11A,"Tasek Ipoh, PERAK",Perak,4.629462,101.116669,56.0,Moderate,2026-05-07 09:00:00,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA11A,"Tasek Ipoh, PERAK",Perak,4.629462,101.116669,55.0,Moderate,2026-05-07 10:00:00,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA11A,"Tasek Ipoh, PERAK",Perak,4.629462,101.116669,56.0,Moderate,2026-05-07 11:00:00,32.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA12A,"Pegoh Ipoh, PERAK",Perak,4.553367,101.080261,54.0,Moderate,2026-05-06 19:00:00,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA12A,"Pegoh Ipoh, PERAK",Perak,4.553367,101.080261,59.0,Moderate,2026-05-07 09:00:00,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA12A,"Pegoh Ipoh, PERAK",Perak,4.553367,101.080261,59.0,Moderate,2026-05-07 10:00:00,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA12A,"Pegoh Ipoh, PERAK",Perak,4.553367,101.080261,59.0,Moderate,2026-05-07 11:00:00,32.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA13A,"Seri Manjung, PERAK",Perak,4.200385,100.663346,54.0,Moderate,2026-05-06 19:00:00,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA13A,"Seri Manjung, PERAK",Perak,4.200385,100.663346,52.0,Moderate,2026-05-07 09:00:00,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA13A,"Seri Manjung, PERAK",Perak,4.200385,100.663346,52.0,Moderate,2026-05-07 10:00:00,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA13A,"Seri Manjung, PERAK",Perak,4.200385,100.663346,53.0,Moderate,2026-05-07 11:00:00,32.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA14A,"Tanjung Malim, PERAK",Perak,3.687721,101.524446,52.0,Moderate,2026-05-06 19:00:00,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA14A,"Tanjung Malim, PERAK",Perak,3.687721,101.524446,43.0,Good,2026-05-07 09:00:00,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA14A,"Tanjung Malim, PERAK",Perak,3.687721,101.524446,43.0,Good,2026-05-07 10:00:00,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA14A,"Tanjung Malim, PERAK",Perak,3.687721,101.524446,43.0,Good,2026-05-07 11:00:00,32.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA15W,"Batu Muda, W.P. KUALA LUMPUR",WP Kuala Lumpur,3.212429,101.682218,62.0,Moderate,2026-05-06 19:00:00,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA15W,"Batu Muda, W.P. KUALA LUMPUR",WP Kuala Lumpur,3.212429,101.682218,62.0,Moderate,2026-05-07 09:00:00,29.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA15W,"Batu Muda, W.P. KUALA LUMPUR",WP Kuala Lumpur,3.212429,101.682218,63.0,Moderate,2026-05-07 10:00:00,31.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA15W,"Batu Muda, W.P. KUALA LUMPUR",WP Kuala Lumpur,3.212429,101.682218,61.0,Moderate,2026-05-07 11:00:00,32.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA16W,"Cheras, W.P. KUALA LUMPUR",WP Kuala Lumpur,3.10626,101.717931,62.0,Moderate,2026-05-06 19:00:00,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
